geocode,Total emp
210670001011002,16
210670001011003,2
210670001011004,7
210670001011005,3
210670001011007,8
210670001011008,55
210670001011009,66
210670001011010,11
210670001011011,118
210670001011012,132
210670001011013,297
210670001011014,891
210670001011015,858
210670001011016,195
210670001011017,122
210670001011018,444
210670001011019,57
210670001011020,214
210670001011021,1126
210670001011022,182
210670001011023,61
210670001011024,162
210670001011025,292
210670001011026,183
210670001011027,41
210670001011028,44
210670001011030,411
210670001011032,174
210670001011033,8
210670001011034,27
210670001011036,63
210670001011038,10
210670001011039,3
210670001011042,47
210670001011043,170
210670001011044,126
210670001011045,29
210670001011047,6
210670001011051,5
210670001011055,3
210670001011061,13
210670001011067,21
210670001011070,58
210670001011071,180
210670001011072,163
210670001011073,73
210670001011075,53
210670001011076,5
210670001012000,74
210670001012001,381
210670001012002,75
210670001012003,149
210670001012004,217
210670001012007,434
210670001012008,180
210670001012009,346
210670001012010,1
210670001012012,46
210670001012013,14
210670001012014,28
210670001012015,35
210670001012016,152
210670001012018,333
210670001012019,69
210670001012021,131
210670001012022,282
210670001012023,2
210670001012024,9
210670001012025,13
210670001012028,13
210670001012029,91
210670001021000,43
210670001021001,67
210670001021003,3
210670001021004,56
210670001021005,7
210670001021006,66
210670001021007,9
210670001021008,37
210670001021009,26
210670001022001,125
210670001022002,24
210670001022003,31
210670001022004,5
210670001022005,130
210670001022006,27
210670001022008,176
210670001022009,701
210670001022011,30
210670001022012,9
210670001022013,10
210670001022014,87
210670001022016,9
210670001022017,62
210670001022018,414
210670001022019,17
210670001022020,2
210670002001000,30
210670002001002,9
210670002001004,19
210670002001005,90
210670002001006,14
210670002001007,4
210670002001008,14
210670002001009,49
210670002001011,17
210670002001012,5
210670002001013,5
210670002002000,7
210670002002001,35
210670002002005,21
210670002002006,10
210670002002010,6
210670002002011,55
210670002002013,30
210670002002014,10
210670002002017,12
210670002002018,1
210670002002019,1
210670002002020,16
210670002003000,15
210670002003004,642
210670002004000,2
210670002004002,3
210670002004005,90
210670002004006,1
210670002004007,2
210670002004009,12
210670002004010,40
210670002004015,18
210670002004016,10
210670003001001,6
210670003001002,4
210670003001003,2
210670003001005,19
210670003001008,16
210670003001012,1
210670003001014,11
210670003002007,19
210670003002010,3
210670003002012,2
210670003003001,2
210670003003002,2
210670003003003,17
210670003003005,2
210670003003008,4
210670003003009,1
210670003003010,10
210670003003011,20
210670003003012,1
210670003004000,5
210670003004001,25
210670003004002,4
210670003004004,2
210670004001004,14
210670004001005,38
210670004001006,2
210670004001007,14
210670004001010,11
210670004001013,2
210670004001016,17
210670004001018,79
210670004001019,193
210670004001020,17
210670004002000,53
210670004002002,5
210670004002003,1
210670004002013,1
210670004002015,2
210670004002022,1
210670004002023,33
210670004002024,71
210670004002025,4
210670004002026,5
210670004002027,339
210670005001000,366
210670005001001,1
210670005001002,20
210670005001004,59
210670005001006,16
210670005001007,69
210670005001008,1
210670005001009,93
210670005001012,12
210670005001013,13
210670005001014,7955
210670005002001,173
210670005002004,2
210670005002005,4
210670005002006,5
210670005002007,2
210670005002008,5
210670005003000,12
210670005003001,94
210670005003003,30
210670005003004,23
210670005003005,32
210670005003006,15
210670005003008,13
210670005004002,3
210670005004003,2
210670005004004,1
210670005004005,3
210670005004006,14
210670005004007,1
210670006001001,2
210670006001005,1
210670006001009,2
210670006001011,7
210670006001013,11
210670006001014,2
210670006001015,8
210670006001017,154
210670006001018,50
210670006001020,11
210670006001022,5
210670006002002,9
210670006002007,3
210670006002010,46
210670006002011,1
210670006002014,78
210670006002015,3
210670006002017,1
210670006002018,9
210670006002021,1
210670006002024,3
210670006002030,10
210670006003000,24
210670006003001,25
210670006003002,110
210670006003005,49
210670006003006,17
210670006003007,116
210670006003008,101
210670006003009,74
210670006003010,119
210670006003011,4
210670006003012,5
210670006003014,48
